"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2024-08-12 16:00:00,2024-08-13 16:00:00,"Konstanz, Wallgutstrasse","8.52","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-12 16:00:00,2024-08-13 16:00:00,"Weinfelden, Berufsbildungszentrum","11.37","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-13 16:00:00,2024-08-14 16:00:00,"Konstanz, Wallgutstrasse","7.71","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-13 16:00:00,2024-08-14 16:00:00,"Weinfelden, Berufsbildungszentrum","9.15","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-14 16:00:00,2024-08-15 16:00:00,"Konstanz, Wallgutstrasse","21.22","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-14 16:00:00,2024-08-15 16:00:00,"Weinfelden, Berufsbildungszentrum","10.9","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-15 16:00:00,2024-08-16 16:00:00,"Konstanz, Wallgutstrasse","28.89","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-15 16:00:00,2024-08-16 16:00:00,"Weinfelden, Berufsbildungszentrum","13.56","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-16 16:00:00,2024-08-17 16:00:00,"Konstanz, Wallgutstrasse","12.39","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-16 16:00:00,2024-08-17 16:00:00,"Weinfelden, Berufsbildungszentrum","11.21","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-17 16:00:00,2024-08-18 16:00:00,"Konstanz, Wallgutstrasse","6.41","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-17 16:00:00,2024-08-18 16:00:00,"Weinfelden, Berufsbildungszentrum","8.08","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-18 16:00:00,2024-08-19 16:00:00,"Konstanz, Wallgutstrasse","6.07","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-18 16:00:00,2024-08-19 16:00:00,"Weinfelden, Berufsbildungszentrum","7.99","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-19 16:00:00,2024-08-20 16:00:00,"Konstanz, Wallgutstrasse","3.61","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-19 16:00:00,2024-08-20 16:00:00,"Weinfelden, Berufsbildungszentrum","5.6","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-20 16:00:00,2024-08-21 16:00:00,"Konstanz, Wallgutstrasse","8.05","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-20 16:00:00,2024-08-21 16:00:00,"Weinfelden, Berufsbildungszentrum","10.39","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-21 16:00:00,2024-08-22 16:00:00,"Konstanz, Wallgutstrasse","7.12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-21 16:00:00,2024-08-22 16:00:00,"Weinfelden, Berufsbildungszentrum","10.1","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-22 16:00:00,2024-08-23 16:00:00,"Konstanz, Wallgutstrasse","10.86","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-22 16:00:00,2024-08-23 16:00:00,"Weinfelden, Berufsbildungszentrum","14.38","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-23 16:00:00,2024-08-24 16:00:00,"Konstanz, Wallgutstrasse","13.06","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-23 16:00:00,2024-08-24 16:00:00,"Weinfelden, Berufsbildungszentrum","16.54","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-24 16:00:00,2024-08-25 16:00:00,"Konstanz, Wallgutstrasse","9.49","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-24 16:00:00,2024-08-25 16:00:00,"Weinfelden, Berufsbildungszentrum","11.79","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
2024-08-25 16:00:00,2024-08-26 16:00:00,"Konstanz, Wallgutstrasse","4.76","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10"
2024-08-25 16:00:00,2024-08-26 16:00:00,"Weinfelden, Berufsbildungszentrum","6.53","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10"
