"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2000-01-01,2000-02-01,"Konstanz, Wallgutstrasse","35.90","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-01-01,2000-02-01,"Frauenfeld, Bahnhofstrasse","30.04","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-02-01,2000-03-01,"Konstanz, Wallgutstrasse","24.66","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-02-01,2000-03-01,"Frauenfeld, Bahnhofstrasse","20.69","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-03-01,2000-04-01,"Konstanz, Wallgutstrasse","24.58","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-03-01,2000-04-01,"Frauenfeld, Bahnhofstrasse","21.62","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-04-01,2000-05-01,"Konstanz, Wallgutstrasse","19.50","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-04-01,2000-05-01,"Frauenfeld, Bahnhofstrasse","18.03","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-05-01,2000-06-01,"Konstanz, Wallgutstrasse","17.84","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-05-01,2000-06-01,"Frauenfeld, Bahnhofstrasse","16.20","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-06-01,2000-07-01,"Konstanz, Wallgutstrasse","19.37","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-06-01,2000-07-01,"Frauenfeld, Bahnhofstrasse","18.66","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-07-01,2000-08-01,"Konstanz, Wallgutstrasse","14.94","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2000-07-01,2000-08-01,"Frauenfeld, Bahnhofstrasse","13.66","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2000-08-01,2000-09-01,"Konstanz, Wallgutstrasse","23.71","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
