"startzeit","endzeit","messstelle","messwert","messstationId","indikator"
2024-08-06,2024-08-07,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-06,2024-08-07,"Weinfelden, Berufsbildungszentrum","13.56","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-08-06,2024-08-07,"Frauenfeld, Bahnhofstrasse","13.83","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-07,2024-08-08,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-07,2024-08-08,"Frauenfeld, Bahnhofstrasse","10.56","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-08,2024-08-09,"Konstanz, Wallgutstrasse","9","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-08,2024-08-09,"Frauenfeld, Bahnhofstrasse","11.07","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-09,2024-08-10,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-09,2024-08-10,"Weinfelden, Berufsbildungszentrum","10.35","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-08-09,2024-08-10,"Frauenfeld, Bahnhofstrasse","11.35","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-10,2024-08-11,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-10,2024-08-11,"Frauenfeld, Bahnhofstrasse","11.68","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-11,2024-08-12,"Konstanz, Wallgutstrasse","10","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-11,2024-08-12,"Frauenfeld, Bahnhofstrasse","13.94","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-12,2024-08-13,"Konstanz, Wallgutstrasse","15","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-12,2024-08-13,"Weinfelden, Berufsbildungszentrum","16.11","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-08-12,2024-08-13,"Frauenfeld, Bahnhofstrasse","14.64","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-13,2024-08-14,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-13,2024-08-14,"Frauenfeld, Bahnhofstrasse","10.44","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-14,2024-08-15,"Konstanz, Wallgutstrasse","6","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-14,2024-08-15,"Frauenfeld, Bahnhofstrasse","9.36","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-15,2024-08-16,"Konstanz, Wallgutstrasse","23","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-16,2024-08-17,"Konstanz, Wallgutstrasse","24","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-16,2024-08-17,"Frauenfeld, Bahnhofstrasse","13.50","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-17,2024-08-18,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-17,2024-08-18,"Frauenfeld, Bahnhofstrasse","10.15","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-18,2024-08-19,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-18,2024-08-19,"Weinfelden, Berufsbildungszentrum","7.44","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-08-18,2024-08-19,"Frauenfeld, Bahnhofstrasse","6.29","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-19,2024-08-20,"Konstanz, Wallgutstrasse","5","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-19,2024-08-20,"Frauenfeld, Bahnhofstrasse","7.14","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-20,2024-08-21,"Konstanz, Wallgutstrasse","6","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-20,2024-08-21,"Frauenfeld, Bahnhofstrasse","8.35","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-21,2024-08-22,"Konstanz, Wallgutstrasse","8","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-21,2024-08-22,"Weinfelden, Berufsbildungszentrum","10.43","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
2024-08-21,2024-08-22,"Frauenfeld, Bahnhofstrasse","9.38","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-22,2024-08-23,"Konstanz, Wallgutstrasse","11","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-22,2024-08-23,"Frauenfeld, Bahnhofstrasse","11.75","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-23,2024-08-24,"Konstanz, Wallgutstrasse","12","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-23,2024-08-24,"Frauenfeld, Bahnhofstrasse","14.11","f64bdd31-226e-4d19-b7b2-2c6bd958df8c","Feinstaub PM10 (HVS)"
2024-08-24,2024-08-25,"Konstanz, Wallgutstrasse","17","9fc10577-4551-49aa-9ebc-2a882720c0ac","Feinstaub PM10 (HVS)"
2024-08-24,2024-08-25,"Weinfelden, Berufsbildungszentrum","19.65","8afbe850-6268-4c59-aa29-8405e7b6da6b","Feinstaub PM10 (HVS)"
